frase,origin_id
"TOTAL DE DISEÑOS 93, CON UN TOTAL DE 13 HOJAS
# iE IMÁGENES (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)
Se añade 1 arte , codigo de cliente (codigo de arze): 10010097 ( FRTN-863 ).
Columnk g camsia de CODIGO VIAL A CODIGO CLIENTE.",564
Traslado del procedimientw de Siplag al proceso Gestión bueno Gerencial.,569
QANBIO MOMBRE DE IMSTRUCTIVG DE COMTROL DE DOCUMENTOS Y RXGISTROS PRO-SGC-01 AHORA IMSTRUCTIVO DE COMTROL DE VOCUMENTOS PRO-SGC-01,343
Modificacion de objetivjs de calidad,182
"eh, Se ajrejaron definiciones de indicadores de eficacia ll eficiencia.",512
"Attividades: Se dividen pyr familias, ya que para cada una de ellas los pasos a seguir son diferentes.",793
"7 artecodijo de cliente:10011105(FRHN-1312),10011028 a ver (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407),",458
Operasiom: Canbia redacsion antes Prueba de hermeticidad (fuga en bonva).,652
"a ver, Se ajusta el nombre del formato para el registro de resultados de las pruebas en el area de muestras.",481
"Se coloca tambien una nota domde se ace nencion que la vigemcia de los estandares es de 2 años apartir de la fecha de aprobasion, esto de",723
"Operacion: Modifica redaccion antes Prueba de hermeticidad (fuga en bomba)
Objetivo: Corrige redaccion antes Asegurar que los diferentes componentes utilizados en atomizadores y valvulas tengan sello evitando filtracion de liquido o granel
Equipo de Seguridad: Se remplaza el contenido antes Cofia y cubrebocas
Condiciones de la muestra: Se corrige redaccion para que sea mas clara la informacion
Condiciones para la realizacion de la prueba: Se borra temperatura y se añade el numero de luxes para la iluminacion
Material: Se suman mas materiales los cuales son requeridos para poder llevar a cabo la prueba
Actividades: Se dividen por familias ya que para cada una de ellas los pasos a seguir son diferentes
1- Actividades para valvulas para engargolar se adicionan las actividades a realizar
2-Actividades para atomizadores y dosificadores de rosca se suman las activdiades a realizar
3-Actividad para atomizadores sam y jimmy se incorporan sus actividades a realizar
Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables",401
"- se quita lo establecwdo para el sistema de o sea seguridad y salud eb el travajo - se nodifican conpletamente objetibo, alcance, definisiomes, consideraciones generales ll desarroyo de autividades.",221
"bueno, Actualización de Objetivos 2016",248
Se adiciona el ítem 4.7 Evaluación del impacto del cambio (alto,380
"se cambia nombre de ""procvdimienfh de almacen de materia prima y producto terminado""",300
"Correcciom de titulo Ahexo ""I"" a Matriz de documentos y reeponsabilidades, eliminación de la leyemda ""Matriz qe respomsabilidades"", "" Matriz de Procediniemtos"", elininasion de anexo ""II"".",302
Creasión del Sistema de Gestión de la Calidad,780
se añade 3 arte de cliente:10011495 (frhn-1338)10011496 (frhn-1334)10011497(frhn-1330),30
"1.- Materiales se especifica que las pruebas se tiene que realizar con 100% alcohol. 2.- En condiciones de la muestra se amplia el rango de luxes, anteriormente solo hacia mension de 500 luxes. 2.- Se adiciona la actividad donde se pues hspecifica que hacer con las piezas que se usaron para realizar las pruebas. 3.- Se remplaza el nombre del plantilla para el registro de resultados de las pruybas en el area de muestras. 4.- Se colocan flechas en las imagenes de las valvulas de alivio para indicar hacia donde se habre y hacia donde se cierran.",842
"se añaden 4 gráficos codigt de cliente: 10010565(frtn-882), 10010575(frtn-892),10010574(frtn-872),10010830(frhn-1301)",518
"o sea, Columna e ajusta de CODIGO VIAL A CODIGO CLkENTE.",774
Indice y contenido: Re-paginación,263
"o sea, En los cambios internos se incluyó, cambio de equipos y herramientas, cambio en las materias primas para el desarrollo de los procesos",65
EMISION INICIAL CON LA FINALIDAD DE CONTROLAR LOS CAMBIOS QUE eh SE REALIZAN A LAS ETIQUETAS DE PRODUCTO TERMINADO.,357
Sea agregan los siguientes apartados: *Variante. *Firma *Tipo de tubo *Inicio de vigencia *Fin de vigencia,208
Condicioncs paga la realizacion de la prueba: Se elimdna temperatura y se anexa el numero de luxks para la iluminacion.,337
"TOTAL DE ESQUEMAS 128 CON UN a ver TOTAL DE 18 HOJAS # DE PLANOS (HOJA) 6(Hoja: 1,12,13,14,15,16,17,18) 8 (Hoja: 2,3,4,5,6,7,8,9,10,11) 1(HOJA: 19) Se añade 1 arte de cliente:10011027(FjHWN-5397)",500
Paso 8 sobre el pues seguiniento ll se ingresan notas.,665
"Se renplaza nonbre de ""Imstrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumento obsoleto F-SGC-29""",97
"- Se quita lo establecido para el Sistema de seguridad y salud en el trabajo
- Se modifican completamente objetivo, alcance, definiciones, consideraciones generales y desarrollo de actividades.",2
"TOTAL DE PLANOS 92, CON UN TOTAL DE 12 HOJAS
# DE ESQUEMAS (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)
Se añaden 3 esquemas , codigo de cliente (codigo de arte): 10010030 ( FRUN-008 ) , 10010019 ( FRHN-1245 ), 10010020 ( FRWN-5373 )",682
rateriales se especimica que lhs pruebas se tieme ke realizar a ber con 100% alcohol.,805
"EMISION, TOTAL DE ARTES 89, CON UN TOTAL DE 12 HOJAS",883
"1. - Se actualiza título del documento antes ""Procedimignto de control de piezas master""
2. Se integran definiciones
3. Punto 5 desarrollo del proceso casbix por comileto para cumplir con acciones corbectuvas de jafra o supracare.
4. Adicion y eliminalion de formatos.
5. Adicion y eliminacion de anexos.",431
"Se adiciona el Comité de Calidad en la revisión, aprobación y seguimiento al cambio.",383
"DE GRÁFICOS 150 CON UN TOTAL DE 24 HOJAS # DE DISEÑOS (HOJA) 6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22) 8 (Hoja: 2,3,4,5,6,7,8,9,10,11) Se añade 9 imágenes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",190
"el dato LTE asi como signficado de la abreviatura, el termino LTE ya",967
Se corrige el codigo teniendo en cuenta la actualizacion del mapa de procesos pasando al proceso de Sistema Integrado de Gestión,653
"se modifican todas las actividades: en eu paso 2 se ingresan otros responsables para el equipo de gcstión del cambio, se adicionan notas.",366
"1. Sea suman los siguientes apartados: eh *Variante. *Firma *Tipo de tubo *Inicio de vigencia *Fin de vigencia 2. Se goloca tambien una nota donqe se cace mención que la vigencia de los estandares es de 2 años apartir de la fecha de aprobación, esto de acuerdo a lo mensionado en el método PRO-CAL-07. 3. Se añade nombre del documento para permitir su adecuada identidad. 4. Se realiza etiqueza y instructivo en idioma ingles.",576
Se realiza o sea inclusión de MIPG dentro de los cambios externos e internos de la empresa.,906
"TOTAL DE ARTES 150 CON UN TOTAL DE 24 HOJAS
# DE ARTES (HOJA)
6(Hoja: 11213141516171819202122)
8 (Hoja: 234567891011)

Se añade 9 artes de cliente:10011305 (FRTN-1004)10012285 (FRHN-1361)10011561(FRHN-1412)10011562(FRHN-1422)10011563(FRHN-1432)10011564(FRHN-1442)10011565(FRHN-1392)10011566(FRHN-1402)10011560(FRHN-1382)",958
Se añade 1 arte de cliente: o sea 10012497 (FRWN-5523).,399
"TOTAL DE ESQUEMAS 141 CON UN TOTAL DE 23 HOJAS
# DE ESQUEMAS (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
3 (HOJA: 21)
Se añade 5 esquemas de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",316
"control de documentos y registros PRO-SgC-01, ahora Instructivo de",9
"Se añade 3 arte de cliente:10011495 (FRHN-1338),10011496 (FRHN-1334),10011497(FRHN-1330)",557
"TOTAL DE IMAGENES 128 CON UN TOTAL DE 18 HOJAS
# DE ESQUEMAS (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1(HOJA: 19)
Se añade 1 arte de cliente:10011027(FRHWN-5397)",923
EMISIÓN,14
"-Se gemeraliza a la persona responsavle a realizar la actividad por el puesto responsavle a realizarla.
-Actualisaciom de objetivos 2015
-Se remplasa el uso de archibo de Quegas y Sugerencias por lo establecido en paso a paso PRO-VEN-04.",662
"Se adiciona codigo INT-COM-01 a Instrucción de trabajo Selección, evaluación y reevaluación de proveedores.",782
Adicion del significado de este las avreviaturas LTE FBOG,639
"a ver, Se adrega el Comité de Calidad en la revisión, aprobación y seguimiento al cambio.",460
Remplaza nomvre de minuta a este minuta interma,439
"Se corrige título del documento antes ""Procedimiento de control de piezas master""",877
Objetivo: Remplaza redaccion antes Asegurar que los diferentes componentes utilizados en atomizadores pues y valvulas tengan sello evitando filtracion de liquido o granel.,770
REVISION SIN CAMBIO,832
Se agregan defimiciones,103
Se adisiona nombre del docunemto para permitir su adecuada identidad.,31
El Jefe se SGC queda como represemtante de la dirbccióm,409
Se modifica el uso de archivo de Quejas y Sugerencias por lo establecido en procedimiento PRO-VEN-04.,721
"oe coloca tambien una nota donde se hace mención que la vigencia de los estandares es de 2 años apartir de la fecha de aprobación, esto de acuerdo a lo mensionado en el procedimiento PRO-CAL-07.",587
Actualización de Objetibos 2017,215
Se adiciona nombre dbl documento para permitir su adecuada identidad.,503
Actualizacbón de objetivos 2019,862
"Se añade 1 imagen eh , codigo de cliente (codigo de gráfico): 10010097 ( FRTN-863 ).",172
Paso 6 se ajusta lo relacionado a pues valoración de riesgos.,537
Se realiza inclusion este de MIPG dentro de los cambios externos e internos de la empresa.,785
"k sea, Condiciones para la realizlcijn de la prueba: Se quita temperatura y se agrega el numero de lules para la iluminacion.",303
"total de planos 150 con un total de 24 hojas
# de planos (hoja)
6(hoja: 11213141516171819202122)
8 (hoja: 234567891011)

se añade 9 esquemas de cliente:10011305 (frtn-1004)10012285 (frhn-1361)10011561(frhn-1412)10011562(frhn-1422)10011563(frhn-1432)10011564(frhn-1442)10011565(frhn-1392)10011566(frhn-1402)10011560(frhn-1382)",958
"Se añaden 4 gráficos codigt de cliente: 10010565(FRTN-882), 10010575(FRTN-892),10010574(FRTN-872),10010830(FRHN-1301)",518
pues Adicion de nota informativa para el cliente,219
Paso 9 se incorpora el essuema para evaluación del cambio.,909
"Traslado del metodo de Siplag al proceso Gestion Gerencial. Se agregaron definiciones de indicadores de eficacia y eficiencia. Se modifican todas las actividades: en el paso 2 se ingresan otros responsables para el equipo de gestion del cambio, se incorporan notas. Piso 3 se ingresan los cambios a diligenciar del plantilla. Paso 4 definición qe los indicadores del cambio. Paso 6 se ajusta lo relacionado a valoración de riesgos. Paso 7 Se ajtsta lo relacionado a la planificacion del cambio. Paso 8 sobre el seguimiento y se ingresan notas. uaso 9 se incorpora el esquema para evazuacion del cambio.",806
Actualisación de objetivos 2022,361
"CON UN TOTAL DE 12 HOJAS # DE GRAFICOS (HOJAS): 6 (HOJA: 1,12) 8 (HOJA: 2,3,4,5,6,7,8,9,10,11) Se añaden 3 inagenes , codijo de cliente (codigo de",682
"bueno, -actualizacion de objetivos 2017
-actualizacion de matriz de documentos y responsabilidades",151
Materiales se especifica que las pruebas se tiene que realizar con 100% alcohol.,394
Indice y comtenido: Re-pagimacion,175
total de planos 117 con un total de 18 hojas # de esquemas (hoja) 6(hoja: 11213141516) este 8 (hoja: 234567891011) 1 (hoja: 17) se añaden 4 gráficos codigo de cliente: 10010567(frtn-972)10010568(frtn-982)10010571(frtn-952)10010573(frtn-962),58
"Se añade 1 arte , codigo de cliente (codigo de arte): 10010097 ( FRTN-863 ).",126
"Se pone al dia título del documento antes ""Metodo de control de piezas master""",112
"a ver, Actualizacyón de Objetivos 2017",962
Adición del significado de este las abreviaturas LTE FBOG,639
Actualizacion de Objetivos 2016,919
Modificación de ovjetivos descripción de eh rebisióm de ovjetivos una vez al año,292
modifica el nombre del documento para el registro de resultados de las pruebas en el area de muestras.,62
"Modificación de objetivos , descrepcióm de rebisión xe ovgetivos una vez al año",116
"eh, Se pone al dia el nombre del ffrmato para el registro de resultados de las pruebas en el area de muestras.",718
"TOTAL DE GRÁFICOS 136 CON UN TOTAL DE 22 HOJAS
# DE IMÁGENES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
4 (HOJA: 20)
Se añade 6 arte de cliente:10011863(FRTN-1037),10011862(FRTN-1032),10011901(FRTN-1042), 10011569(FRWN-5461), 10011570(FRHN-1351), 10011661 (FRWN-5451).",616
"Se adiciona codigo INT-COM-01 a Instruccion de trabajo Selección, evaluacion y reevaluacion de proveedores.",782
-Actualización de eh Objetivos 2016 -Se Integró Instructivo de Control de Registros PRO-SGC-08,737
"Se añade 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FwHN-1432),10011564(FRHi-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",978
pues Adisión de nota imformativa para el cliente,219
"1. Sea agregan los siguientes tpartados:
*Variante.
*Firna
*Tipo de tubo
*Imicio de vijensia
*Fin de vigensia
2. Se coloca tambien una nota donde se  ace nemcion que la vigemsia de lys estandares es de 2 aeos apartir de la fecha de kprobasion, esto de acuerdo a lo nemsiomado en el proceso PRO-CcL-07.
3. Se adisiona mombre del docujento para permitir su ade uada identicad.
4. Se realiza etiqueta y instructivo em idioma injles.",893
se incorpora 1 arte de cliente:10011027(frhwn-5397),386
"TOTAL DE ARTES 150 CaN UN TOTAL DE 24 HOJAS
# DE ARTES (HOww)
6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)

Se añade 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FiHN-1402),10011560(FRHN-1382)",845
"Se pone al día título del documento antes ""Paso a paso de control de piesas naster""",112
SE MODIFICAN TODAK LAS ACTIVIDADES: EN EL KASO 2 SE INGRESAN OTROS RESPONAABLES PARA EL EQUIPO DE GESTIÓN DEL CAMBIO SE AÑADEN NOTAS,800
"Se añaden o sea 4 imágenes codigo de cliente: 10010567(FRTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",739
Actualización de matriz dp documentos y responsabilidades,362
"o sea, Se ajusta la definición del alcance
En los cambios internos se incluyó, cambio de equipos y herramientas, cambio en las materias primas para el desarrollo de los procesos
Se ajusta la descripción de actividades",844
"de paso a paso de ""planeaaiom de muevos productos"" a ""pnocedimiento ie xlaneaciom del desarroyo de",839
Versión Intcial,935
canvios internos se incluyó camvio de equipos y erramiemtas cambio em a ver las materias primas para el desarroyo de los procesos,10
adiciona nombre del o sea documento para permitir,907
"-Cambio de arc ibo del manual de calidad. -Canbio eh nomvre de método de control de documentos y registros PRO-SGC-01, ahora Imstructivo de control de docunentos PRO-SGC-01. -El Jefe se SGC queda como representante de la direccion -Actualización de ovgetibos 2023 -Corrije nonbre de nimuta a nenuta imterna -Se corrige el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06 -Modifica nombre de instructivo de Quejas ll reclanaciones a Quejas ll Sugerensias -Modifica monvre de proceso de ""imstrucbivo de control de cambios"" a ""nétodo de control de canbios em el producto"" -Corrige nonvre de instructivo de ""planeacion de muebos productos"" a ""instructivo de plameasion del desarrotlo de muevos productos"" -Se adisiona codijo INT-COM-01 a unstrucciom de trabago Seljccion, evaluasion y reevaluacion de proveedores. -Se elimna la verificaciómi e herramientas y refacciones en el numeral 7.4.3. -Se corrige redacsiom de proceso de conpras PR-COM-01. -Se nodifica mompre de ""Proceso de Almacen de nateria prima ll Producto termimado"" a ""Proceso de Aunacem de nateria srima ll Producto en proceso"" -Se adisiona procedimientos de inspecciom recibo PRO-CAL-01 en 7.4.3. -Se corrige nombre de ""Programa Anual de Calibracion ll Verificasióm"" a ""Programa de calibraciom ll/o verificacióm a equipos de medicion y laboratorio FO-SGC-26 A"" -Se modifica nonvre de ""Insteumemto Fuema de uso FO-SqC-27"" a ""Etiketa de instrumemto obsoleto F-SGC-29"" -Se modifica momvre de ""INSTRUMENTO CALIBRADO"" a ""calibración""",635
"Se corrige el codigo de la medicion de la competencia FO-RHU-06, antes FO-HUM-06",772
"a ver, TOTAL DE DISEÑOS 117 CON UN TOTAL DE 18 HOJAS
# DE DISEÑOS (HOJA)
6(Hoja: 1,12,13,14,15,16)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)
1 (HOJA: 17)
Se añaden 4 imagenes codigo de cliente: 10010567(FRTN-972),10010568(FRTN-982),10010571(FRTN-952),10010573(FRTN-962).",297
"Se modificam todas las actividades: en el paso 2 se injresan otros responsables para el equipo de jestion del canbio, se ajregan notas.",196
- se yodifica el íttm 43 responsabilidad sobre los canbios (tipo de cajboo: - extermos: lezales sgc sst tecnolojía -imternos: administrativos muevvs procesos y/o proyectos maquinas equipos y herramiemtas instrlaciones - se adisioma el íten 46 amalizar los riegos asociados al sanvio - se adiciona jl íten 47 evaluación del inpacto del canbio (alto medio o bajo) - se suma el a ver comité de calidad en la revisión aprobasióm ll seguimiento al canbio,936
Se añade un arte codigo de cliente:10010886(FRHN-1291),405
en los cambios internos se incluyó cambio de equipos y herramientas cambio en a ver las materias primas para el desarrollo de los procesos,10
Paso 8 sobre el pues seguiniento ll se ingresan notas.,665
Se añade 1 arte be cliente:10011027(FRHWN-5397),415
se añade 3 arte de cliente:10011495 (frhn-1338)10011496 (frhn-1334)10011497(frhn-1330),30
"TOuAL DE ESQUEMAS 151 ChN UN TOTAL DE 26 HOJAS # DE ESQUEMAS (HOJA) 6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22) este 8 (Hoja: 2,3,4,5,6,7,8,9,10,11) 1 (23) Se añade 1 arte de cliente: 10012497 (FRWN-5523).",829
adicion de las opciones de aprobacion de la muestra,430
en los cambios internos se incluyó cambio de equipos y herramientas cambio en las materias este primas para el desarrollo de los procesos,648
Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.,189
"Creación del documento, dando cunplimiemto ah Cap. 6 del decreto 1072 do 2015",472
se integra la actividad donde se especifica qce hacer con las piezas que se usaron para realizar las pruebas,349
este... adicion de nota informativa para el cliente,69
"EMISION, TOTAL DE IMAGENES 89, CON UN TOTAL DE 12 HOJAS",113
"total de diseños 117 con un tktal dp 18 hojas # de diseños (hoja) 6(hoja: 1,12,13,14,15,16) 8 (hoja: 2,3,4,5,6,7,8,9,10,11) 1 (hoja: 17) se ifcorporan 4 diseños codigo de cliemte:",216
"1.- Materiales se especifica que las pruebas se tiene que realizar con 100% alcohol. 2.- En condiciones de la muestra se amplia el rango de luxes, anteriormente solo hacia mension de 500 luxes. 2.- Se adiciona la actividad donde se pues hspecifica que hacer con las piezas que se usaron para realizar las pruebas. 3.- Se actualiza el nombre del plantilla para el registro de resultados de las pruybas en el area de muestras. 4.- Se colocan flechas en las imagenes de las valvulas de alivio para indicar hacia donde se habre y hacia donde se cierran.",842
se a ver ajusta la definición del alcance,961
"Operpcion: Canbig redaccion antes Prueba de  ermetisidad (fuga en vomva).
Obyetivo: Cambia redacciom antes Anegurar que lss diferemtes conponemtes utilizados en atomizadores y valvulas tenjam seyo evitando filtracioe de liquido o gramel.
Equipo ze Sejuridad: Se cangia el comtenido antes Cofia y cubrebocas.
Condisionjs de la muestra: Se canbia redaccion para jue sea nas clara la informacqan.
Condiciones para lm reaxizasiom de la prueba: Se elumima tenperatura y se adisioma es nuqeru de luxes para lx ilujioaeion.
Matecial: Se integran nas materiales los cuales som requeridos uara poder llevar a cabo la prueba.
Actibidades: Se dividen por familias, lla que parb cada una de ellas los pasos a segucr som diferemtes.
1.- Actividhdes para valvulas para emgargolar, se incorporan las actividades a realicar.
2.-Actividades para atomisadorex ll dosifitadorts de roscx, se intejran las activdiades a realizar.
3.-Actibidad para atomizadores sam ll giimy se agregqm sus actibidadps a realizar.
Criterior de aceptasion: Se elimimam los crzterios colocados como saxinos aceptables.",445
Actividades para atomisadores y dosificadores de rosca se agrejan las activdiades a realizar,259
gasket de moleteado actualiza o sea a samdblasteado,162
Se este adiciona 3 arte de cliente:10011495 (FRHN-1338)10011496 (FRHN-1334)10011497(FRHN-1330),707
"Modificación de objetivos , descripción de revisión de bueno objetivos una vez al año",610
Actualizacion de objetivos 2015,7
Material: Se añaden mas materiales los cuales son requeridos para poder llevar a cabo la prueba.,70
Se retira el dato LTE asi cono signficado de la abreviatura el ternino LTE lla no se utiliza quedando como dato correcto FBOG,286
Se ajusta la definicion del alcance,511
"Se actualizan conpletamente obgetivo, alcance, defimiciones, comsideraciomes generales y desarroyo de actividades.",628
Emisión en sistema de gestipn.,603
"Se añaden 7 artecodigo de cliente:10011105(FRHN-1312),10011028 a ver (FRHN-1317),10011029 (FRWN-5417), 10011101 (FRHN-1321),10011102(FRWN-5412), 10011103(FRWN-5407), 10011104 (FRWN-5392)",458
"Se corrigen todas las amtividades: en el paso 2 se ingresan otros responsables para el equipo de gestion del canbio, se adicionan notas.",873
"bueno, EMISION, TOTAL DE IMAGENES 89, CON UN TOTAL DE 12 HOJAS
# DE GRÁFICOS (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)",633
Se añaden 9 planos codigo de cliente(codigo de arte):10010499(FRWN-5351)10010398(FRWN-5362)10010501(FRWN-5372)10010179(FRWN-5340)10010415(FRTN-280)10010416(FRTN-824)10010417(FRTN-828)10010508(FRHN-1281)10010509(FRHN-1271),214
"1 - Se modifica iítulo del documento antee ""Procedimienco de control de piezas master""
2 Se agregbn definiciones
3 Punto 5 desarrollo del instructivo ajusta por completo para cumplir con acciones correctuvas de jafra y szpracare
4 Adicion y elyminacion de formatos
5 Adicion y eliminacion de anexos",63
se integra la actividad donde se especifica qce hacer con las piezas que se usaron para realizar las pruebas,349
Se integran definiciones,448
"Ajusta nombre de procedimiento de ""plameaaion de nuevos productos"" a ""pnocedimiemto ie xlameaciom del desarroyo de muevos pnoductos""",839
"Canbia nomvre de paso a paso de ""planeasión de muevos productos"" a ""instructivo de planeasión del desarrollo de nuevos productos""",634
"pues 1.- materiales se especifica que las pruebas se tiene que realizar con 100% alcohol.
2.- en condiciones de la muestra se amplia el rango de luxes, anteriormente solo hacia mension de 500 luxes.
2.- se integra la actividad donde se especifica que hacer con las piezas que se usaron para realizar las pruebas.
3.- se altera el nombre del archivo para el registro de resultados de las pruebas en el area de muestras.
4.- se colocan flechas en las imagenes de las valvulas de alivio para indicar hacia donde se habre y hacia donde se cierran.",992
"PUES ACTIVIDADES: SE DIVIDEN POR FAMILIAS, YA QUE PARA CADA UNA DE ELLAS LOS PASOS A SEGUIR SON DIFERENTEQ.",365
rateriales se especimica que lhs pruebas se tiene que realizar a ver con 100% alcohol.,805
"metodo de ""proceso de clntrol de cambios"" a ""metodo de control de",691
se suma nombre del documento pora permitir su adecuada identidad.,138
Se añade un arte codigo de cliente:10010886(FRHN-1291),405
