frase,etiqueta
Material: Se agregan mas materiales los cuales son requeridos para poder llevar a cabo la prueba.,Adición
"Actividades: Se dividen por familias, ya que para cada una de ellas los pasos a seguir son diferentes.",Cambio
"Actividades para valvulas para engargolar, se agregan las actividades a realizar.",Adición
"Actividades para atomizadores y dosificadores de rosca, se agregan las activdiades a realizar.",Adición
Actividad para atomizadores sam y jimmy se agregan sus actividades a realizar.,Adición
Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.,Eliminación
Materiales se especifica que las pruebas se tiene que realizar con 100% alcohol.,Cambio
"En condiciones de la muestra se amplia el rango de luxes, anteriormente solo hacia mension de 500 luxes.",Cambio
Se agrega la actividad donde se especifica que hacer con las piezas que se usaron para realizar las pruebas.,Adición
Se cambia el nombre del formato para el registro de resultados de las pruebas en el area de muestras.,Cambio
Se colocan flechas en las imagenes de las valvulas de alivio para indicar hacia donde se habre y hacia donde se cierran.,Cambio
"Se cambia título del documento antes ""Procedimiento de control de piezas master""",Cambio
Se agregan definiciones,Adición
Punto 5 desarrollo del procedimiento cambia por completo para cumplir con acciones correctuvas de jafra y supracare.,Cambio
Adicion y eliminacion de formatos.,Cambio
Adicion y eliminacion de anexos.,Cambio
Se generaliza a la persona responsable a realizar la actividad por el puesto responsable a realizarla.,Cambio
Actualización de objetivos 2015,Cambio
Se cambia el uso de formato de Quejas y Sugerencias por lo establecido en procedimiento PRO-VEN-04.,Cambio
Actualización de Objetivos 2016,Cambio
Se Integró Procedimiento de Control de Registros PRO-SGC-08,Cambio
Actualización de Objetivos 2017,Cambio
Actualización de matriz de documentos y responsabilidades,Cambio
Actualización de objetivos 2019,Cambio
"-Índice: Re-paginación a clausulas 6.2.2, 7.3.2, 7.5.4",Cambio
"Corrección de título Anexo ""I"" a Matriz de documentos y responsabilidades, eliminación de la leyenda ""Matriz de responsabilidades"", "" Matriz de Procedimientos"", eliminación de anexo ""II"".",Cambio
Actualización de objetivos 2021,Cambio
"Cambio de posición entre texto e imagen de 4.2.1, clausula b.",Cambio
Indice y contenido: Re-paginación,Cambio
Cambio de formato del manual de calidad.,Cambio
"Cambio nombre de procedimiento de control de documentos y registros PRO-SGC-01, ahora Procedimiento de control de documentos PRO-SGC-01.",Cambio
El Jefe se SGC queda como representante de la dirección,Cambio
Actualización de objetivos 2023,Cambio
Cambia nombre de minuta a minuta interna,Cambio
"Se corrige el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06",Cambio
Cambia nombre de procedimiento de Quejas y reclamaciones a Quejas y Sugerencias,Cambio
"Cambia nombre de procedimiento de ""procedimiento de control de cambios"" a ""procedimiento de control de cambios en el producto""",Cambio
"Cambia nombre de procedimiento de ""planeación de nuevos productos"" a ""procedimiento de planeación del desarrollo de nuevos productos""",Cambio
"Se adiciona codigo INT-COM-01 a Instrucción de trabajo Selección, evaluación y reevaluación de proveedores.",Adición
Se elimna la verificaciónd e herramientas y refacciones en el numeral 7.4.3.,Eliminación
Se corrige redaccion de procedimiento de compras PR-COM-01.,Cambio
"Se cambia nombre de ""Procedimiento de Almacén de materia prima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en proceso""",Cambio
Se adiciona procedimientos de inspección recibo PRO-CAL-01 en 7.4.3.,Adición
"Se cambia nombre de ""Programa Anual de Calibración y Verificación"" a ""Programa de calibración y/o verificación a equipos de medición y laboratorio FO-SGC-26 A""",Cambio
"Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumento obsoleto F-SGC-29""",Cambio
"Se cambia nombre de ""INSTRUMENTO CALIBRADO"" a ""calibración""",Cambio
Actualización de objetivos 2024,Cambio
Adición de las entradas de la revisión por la dirección de acuerdo a ISO 9001:2015.,Adición
Versión Inicial,Emisión
"- Se modifica el ítem 4.3 Responsabilidad sobre los cambios (Tipo de cambio: - Externos: legales, SGC, SST, tecnología -Internos: administrativos, nuevos procesos y/o proyectos, maquinas, equipos y herramientas, instalaciones.
- Se adiciona el ítem 4.6 Analizar los riegos asociados al cambio
- Se adiciona el ítem 4.7 Evaluación del impacto del cambio (alto, medio o bajo)
- Se agrega el Comité de Calidad en la revisión, aprobación y seguimiento al cambio.",Cambio
"- Se elimina lo establecido para el Sistema de seguridad y salud en el trabajo
- Se modifican completamente objetivo, alcance, definiciones, consideraciones generales y desarrollo de actividades.",Cambio
"Creación del documento, dando cumplimiento al Cap. 6 del decreto 1072 de 2015",Emisión
Se actualiza el procedimiento con el fin de incluir todo el Sistema Integrado de Gestión.,Cambio
"Se modifica el código, teniendo en cuenta la actualización del mapa de procesos, pasando al proceso de Sistema Integrado de Gestión.",Cambio
Se realiza inclusión de MIPG dentro de los cambios externos e internos de la empresa.,Adición
"Se realiza modificación de la metodología para la valoración del cambio.
Se incluyen aspectos relacionados con la pandemia y se complementa el ítem de cambios en infraestructura y sedes.",Cambio
"Se ajusta la definición del alcance
En los cambios internos se incluyó, cambio de equipos y herramientas, cambio en las materias primas para el desarrollo de los procesos
Se ajusta la descripción de actividades",Cambio
"Se modifica el ítem 4.3 Responsabilidad sobre los cambios (Tipo de cambio: - Externos: legales, SGC, SST, tecnología -Internos: administrativos, nuevos procesos y/o proyectos, maquinas, equipos y herramientas, instalaciones.",Cambio
Se adiciona el ítem 4.6 Analizar los riegos asociados al cambio,Adición
Se adiciona el ítem 4.7 Evaluación del impacto del cambio (alto, medio o bajo),Adición
"Se agrega el Comité de Calidad en la revisión, aprobación y seguimiento al cambio.",Adición
Se elimina lo establecido para el Sistema de seguridad y salud en el trabajo,Eliminación
"Se modifican completamente objetivo, alcance, definiciones, consideraciones generales y desarrollo de actividades.",Cambio
Se realiza modificación de la metodología para la valoración del cambio.,Cambio
Se incluyen aspectos relacionados con la pandemia y se complementa el ítem de cambios en infraestructura y sedes.,Adición
Se ajusta la definición del alcance,Cambio
"En los cambios internos se incluyó, cambio de equipos y herramientas, cambio en las materias primas para el desarrollo de los procesos",Adición
Se ajusta la descripción de actividades,Cambio
Emisión Inicial,Emisión
"Traslado del procedimiento de Siplag al proceso Gestión Gerencial. Se agregaron definiciones de indicadores de eficacia y eficiencia. Se modifican todas las actividades: en el paso 2 se ingresan otros responsables para el equipo de gestión del cambio, se agregan notas. Paso 3 se ingresan los cambios a diligenciar del formato. Paso 4 definición de los indicadores del cambio. Paso 6 se ajusta lo relacionado a valoración de riesgos. Paso 7 Se ajusta lo relacionado a la planificación del cambio. Paso 8 sobre el seguimiento y se ingresan notas. Paso 9 se incorpora el esquema para evaluación del cambio.",Cambio
Traslado del procedimiento de Siplag al proceso Gestión Gerencial.,Cambio
Se agregaron definiciones de indicadores de eficacia y eficiencia.,Adición
"Se modifican todas las actividades: en el paso 2 se ingresan otros responsables para el equipo de gestión del cambio, se agregan notas.",Cambio
Paso 3 se ingresan los cambios a diligenciar del formato.,Adición
Paso 4 definición de los indicadores del cambio.,Cambio
Paso 6 se ajusta lo relacionado a valoración de riesgos.,Cambio
Paso 7 Se ajusta lo relacionado a la planificación del cambio.,Cambio
Paso 8 sobre el seguimiento y se ingresan notas.,Adición
Paso 9 se incorpora el esquema para evaluación del cambio.,Adición
