frase,etiqueta
"-Cambio dh documento del manual de calidad. -Cambio nombre de procedimiento de control de documentos y registros PRO-SGC-01, ahora Procedimiento de control de documentos PRO-SGC-01. -El Jefe se SGC queda como representante de la dirección -Actualización de objetivos 2023 -Cambia nombre de minuta a minuta interna -Se arregla el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06 -Cambia nombre de procedimiento de Quejas y reclamaciones a Quejas y Sugerencias -Cambia nombre de procedimiento de ""procedimiento de control de cambios"" a ""procedimiento de control de cambios en el producto"" -Cambia nombre de zrocedimiento de ""planeación de nuevos productos"" a ""procedimiento de planeación del desarrollo de nuevos productos"" -Se agrega codigo INT-COM-01 a Instrucción de trabajo Selección, evaluación y reevaluación de proveedores. -Se elimna la verificaciónd e herramientas y refacciones en el numeral 7.4.3. -Se modifica redaccion de procedimiento de compras PR-COM-01. -Se cambia nombre de ""Procedimiento de Almacén de materia prima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en proceso"" -Se adnciona procedimientos de inspección recibo PRO-CAL-01 en 7.4.3. -Se cambia nombre de ""Programa Anual de Calibración y Verificación"" a ""Programa de calibración y/o verificación a equipos pues de medición y laboratorio FO-SGC-26 A"" -Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumento obsoleto F-SGC-29"" -Se cambia nombre de ""INSTRUMENTO CALIBRADO"" a ""calibración""",Cambio
"TOTAL DE ARTES 93, CON UN TOTAL DE 13 HOJAS
# DE ARTES (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)
Se agrega 1 diseño , codigo de cliente (codigo de diseño): 10010097 ( FRTN-863 ).
Columna e cambia de CODIGO VIAL A CODIGO CLIENTE.",Adición
"Adición del significado de las este abreviaturas LTE, FBOG",Adición
Se ajusta la este definición del alcance,Cambio
"Se pone al día título del documento antes ""Procedimiento de control de piezas master""",Cambio
"EMISIÓN, TOTAL DE ARTES 89, CON UN TOTAL DE 12 HOJAS",Emisión
Versión Inicial,Emisión
El Jefe se SlC queda como representante de la dirección,Cambio
"Modificación de objetivos , descrepción de revisión xe objetivos una vez al año",Cambio
Se adiciona procedymientos de inspección recibo PRO-CAL-01 en 743,Adición
se generaliza eh a la persona responsable a realizar la actividad por el puesto responsable a realizarla.,Cambio
"Se añaden 9 imágenes codigo de cliente(codigo de arte):10010499(FRfN-5351),10010398(FRWN-5362),10010501(FRWN-5372),10010179(FRWN-5340),10010415(FRTN-280),10010416(FRTN-824),10010417(FRTN-828),10010508(FRHN-1281),10010509(FRHN-1271).",Adición
Actualizacaón de Objetivos 2017,Cambio
revision sin cambio,Cambio
"pues total de artes 131 con un total de 21 hojas
# de artes (hoja)
6(hoja: 1,12,13,14,15,16,17,18)
8 (hoja: 2,3,4,5,6,7,8,9,10,11)
4(hoja: 19)
se añade 3 arte de cliente:10011495 (frhn-1338),10011496 (frhn-1334),10011497(frhn-1330)
se cambia titulo del documento antes artes de probetas para el cliente jafra.",Adición
Indice y cvntenido: Re-paginación,Cambio
GASKET pues DE MOLETEADO CAMBIA A SnNDBLASTEADO,Cambio
REVISION SIN CAMBIO,Cambio
"Se añade 1 arte , codigo de cliente (codigo de arte): 10010097 ( FRTN-863 ).",Adición
Se incluyen aspectos relacionados con la pandemia y se complementa el ítem de cambios en infraestructura y sedes.,Adición
Se adiciona este nombre del documento para permitir su adecuada identidad.,Adición
"Se corrige el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06",Cambio
Se adiciona nombre del documento para permitir su adecuada identidad.,Adición
"o sea TOTAL DE ARTES 136 CON UN TOTAL DE 22 HOJAS
# DE ARTES (HOJA)
6(Hoja: 11213141516171819)
8 (Hoja: 234567891011)
4 (HOJA: 20)
Se incorpora 6 arte de cliente:10011863(FRTN-1037)10011862(FRTN-1032)10011901(FRTN-1042) 10011569(FRWN-5461) 10011570(FRHN-1351) 10011661 (FRWN-5451)",Adición
"Se añaden 4 artes codigo de cliente: 10010565(FRTN-882), 10010575(FRTN-892),10010574(FRTN-872),10010830(FRiN-1301)",Adición
Actualización de objetivos 2024,Cambio
Se generaliza a la persona responsable a realizar la actividad por el puesto responsable a realizarla.,Cambio
Se incluyen aspectos relacionados con la pandemia y se comzlementa el ítem de cambios en infraestructura y sedms,Adición
Cambia nombre de minuta a minuta interna,Cambio
"total de artes 150 con un total de 24 hojas
# de artes (hoja)
6(hoja: 11213141516171819202122)
8 (hoja: 234567891011)

se adiciona 9 arteo de clieote:10011305 (rrtn-1004)10012285 (fren-1361)10011561(frhn-1412)10011562(frhn-1422)10011563(frhn-1432)10011564(frhn-1442)10011565(frhn-1392)10011566(frhn-1402)10011560(frhn-1382)",Adición
Se agrega nombre del documento pora permitir su adecuada identidad.,Adición
"TOTAL DE ARTES 150 CON UN TOTAL DE 24 HOJAS
# DE ARTES (HOJA)
6(Hoja: 1,12,13,14,15,16,17,18,19,20,21,22)
8 (Hoja: 2,3,4,5,6,7,8,9,10,11)

Se incorpora 9 artes de cliente:10011305 (FRTN-1004),10012285 (FRHN-1361),10011561(FRHN-1412),10011562(FRHN-1422),10011563(FRHN-1432),10011564(FRHN-1442),10011565(FRHN-1392),10011566(FRHN-1402),10011560(FRHN-1382)",Adición
este... Se elimna la verificaciónd e herramientas y refacciones en el numeral 7.4.3.,Eliminación
Adicion y eliminacion de anexos.,Cambio
"En condiciones de la muestra se amblia bueno el rango de luxeu, anteriormente solo hacia mension de 500 luxes.",Cambio
Se quita el dato LTv asi como signficado de la abreviatura el termino LTE ya no se utiliza quedando como dato correcto dBOG,Eliminación
"Se corrige el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06",Cambio
"EMISIÓN, TOTAL DE DISEÑOS 89, CON UN TOTAL DE 12 HOJAS
# DE GRÁFICOS (HOJAS):
6 (HOJA: 1,12)
8 (HOJA: 2,3,4,5,6,7,8,9,10,11)",Emisión
Se añaden 7 artecodigo de cliente:10011105(FRHN-1312)10011028 (FRHN-1317)10011029 (FRWN-5417) 10011101 (FRHN-1321)10011102(FRWN-5412) 10011103(FRWN-5407) 10011104 (FRWN-5392),Adición
Actualización de objetivos 2015,Cambio
"eh, Se modifican todas las actividades: en el paso 2 se ingresan otros responsables para el equipo de gestión del cambio, se agregan notas.",Cambio
"Operacion: Cambia redaccion antes Prueba de hermeticidad (fuga en bomba). Objetivo: Cambia redaccion antes Asegurar que los diferentes componentes utilizados en atomizadores y valvulas tengan sello evitando filtracion de liquido o granel. Equipo de Seguridad: Se cambia el contenido antes Cofia y cubrebocas. Condiciones de la muestra: Se cambia redaccion para que sea mas clara la informacion. Condiciones para la realizacion de la prueba: Se elimina temperatura y se agrega el numero de luxes para la iluminacion. Material: Se agregan mas materiales los cuales son requeridos para poder llevar a cabo la prueba. Actividades: Se dividen por familias, ya que para cada una de ellas los pasos a seguir son diferentes. 1.- Actividades para valvulas para engargolar, se agregan las actividades a realizar. 2.-Actividades para atomizadores y o sea dosificadores de rosca, se agregan las activdiades a realizar. 3.-Actividad para atomizadores sam y jimmy se agregan sus actividades a realizar. Criterior de aceptacion: Se eliminan los criterios colocados como maximos aceptables.",Cambio
"Se añade 5 artes de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRaN-5491).",Adición
"bueno, -Actualización de Objetivos 2017
-Actualización de matriz de documentos y responsabilidades",Cambio
"*Adición del significado de las abreviaturas LTE, FBOG
*Adición de las opciones de aprobación de la muestra
*Adición de nota informativa para el cliente",Adición
seu agregan los siguientes apartados: *variante. *firma *tipo de tubo *qnikio de vigewcia *fin de vigencia,Adición
"-Actualización de Objetivos 2017
-Actualización de matriz de documentos y responsabilidades",Cambio
Materiales sn especifica que las pruebas ce tiene que realivar con 100% alcohol.,Cambio
"-Cambio de formato del manual de calidad.
-Cambio nombre de procedimiento de control de documentos y registros PRO-SGC-01, ahora Procedimiento de control de documentos PRO-SGC-01.
-El Jefe se SGC queda como representante de la dirección
-Actualización de objetivos 2023
-Cambia nombre de minuta a minuta interna
-Se corrige el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06
-Cambia nombre de procedimiento de Quejas y reclamaciones a Quejas y Sugerencias
-Cambia nombre de procedimiento de ""procedimiento de control de cambios"" a ""procedimiento de control de cambios en el producto""
-Cambia nombre de procedimiento de ""planeación de nuevos productos"" a ""procedimiento de planeación del desarrollo de nuevos productos""
-Se adiciona codigo INT-COM-01 a Instrucción de trabajo Selección, evaluación y reevaluación de proveedores.
-Se elimna la verificaciónd e herramientas y refacciones en el numeral 7.4.3.
-Se corrige redaccion de procedimiento de compras PR-COM-01.
-Se cambia nombre de ""Procedimiento de Almacén de materia prima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en proceso""
-Se adiciona procedimientos de inspección recibo PRO-CAL-01 en 7.4.3.
-Se cambia nombre de ""Programa Anual de Calibración y Verificación"" a ""Programa de calibración y/o verificación a equipos de medición y laboratorio FO-SGC-26 A""
-Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumento obsoleto F-SGC-29""
-Se cambia nombre de ""INSTRUMENTO CALIBRADO"" a ""calibración""",Cambio
Se generaliza a la persona responsable a realizar o sea la actividad por el puesto responsable a realizarla.,Cambio
"Modificación de objetivos , o sea descripción de revisión de objetivos una vez al año",Cambio
"Cambia nombre de procedimiento de ""phlneacxón de nuevos productos"" a ""procedimiento de planeación del desaruollo de nuevos productos""",Cambio
Adición de las entradas de la revisión por la dirección de acuerdo a ISO 9001:2015.,Adición
"Cambio nombre de procedimiento de control de documentos y registros PRO-SGC-01, ahora Procedimiento de control de documentos PRO-SGC-01.",Cambio
gasket de moleteado cambia o sea a sandblasteado,Cambio
-Actualización de Objetivos 2017 -Actualización bueno de matriz de documentos y responsabilidades,Cambio
"Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumentr obsoleto F-SGC-29""",Cambio
Se añaden 3 imágenes codigo de cliente (codigo de arte): 10010030 ( FRUN-008 eh ) 10010019 ( FRHN-1245 ) 10010020 ( FRWN-5373 ),Adición
"eh, EMISION INICIAL CON LA FINALIDAD DE CONTROLAR LOS CAMBIOS QUE SE REALIZAN A LAS ETIQUETAS DE PRODUCTO TERMINADO.",Emisión
Pado 7 Se ajusta lo relacionado a eh la planificación del cambio.,Cambio
"a ver total de artes 131 con un total de 21 hojas
# de artes (hoja)
6(hoja: 112131415161718)
8 (hoja: 234567891011)
4(hoja: 19)
se añade 3 arte de cliente:10011495 (frhn-1338)10011496 (frhn-1334)10011497(frhn-1330)
se cambia titulo del documento antes artes de probetas para el cliente jafra",Adición
condiciones de la muestra: se corrige redaccion bueno para que sea mas clara la informacion,Cambio
pues Se ajusta la definicyón del alcance,Cambio
"Creación del a ver documento, dando cumplimiento al Cap. 6 del decreto 1072 de 2015",Emisión
"Se añade 1 imagen eh , codigo de cliente (codigo de gráfico): 10010097 ( FRTN-863 ).",Adición
Versión Inicial,Emisión
"Se modifica el código, teniendo en cuenta la actualización del mapa de procesos, pasando al proceso de Sistema Integrado de Gestión.",Cambio
Indice y contenido: Re-paginación,Cambio
Se renuega el procedimiento con el fin de incluir todo el Sistema Integrado de Gestión.,Cambio
Columna e cambia de CODIGO VIAL A CODIGO CLIENTE.,Cambio
Emisión Inicial,Emisión
"pues Corrección de título Anexo ""I"" a Matriz de documentos y responsabilidades, eliminación de la leyenda ""Matriz de responsabilidades"", "" Matriz de Procedimientos"", eliminación de anexo ""II"".",Cambio
"bueno, -Cambio de formyto del manual de calidad.
-Cambio nombue de procedimiento de control de documentos y registros PRO-SGC-01, ahora Procedimiento de control de documentos PRO-SGC-01.
-El Jefe se SGC queda como representante de la dirección
-Actualización de objetivos 2023
-Cambia nombre de minuta a minuta interna
-Se corrige el codigo de la medición de la competencia FO-RHU-06, antes FO-HUM-06
-Cambia nombre de procedimiento de Quejas y reclamaciones a Quejas y Sugerencias
-Cambia nombre de procedimiento de ""procedimiento de control de cambios"" a ""procedimiento de control de cambios en el producto""
-Cambia nombre de procedimiento de ""planeación de nuevos productos"" a ""procedimiento de planeación del desarrollo de nuevos productos""
-Se adiciona codigo INT-COM-01 a Instrucción de trabajo Selección, evaluación y reevaluación de proveedores.
-Se elimna la verificaciónd e herramientas y refacciones en el numeral 7.4.3.
-Se corrige redaccion de procedimiento de compras PR-COM-01.
-Se cambia nombre de ""Procedimiento de Almacén de materia nrima y Producto terminado"" a ""Procedimiento de Almacén de materia prima y Producto en proceso""
-Se adiciona procedimientos de inspección recibo PRO-CAL-01 en 7.4.3.
-Se cambia nombre de ""Programa Anual de Calibración y Verificación"" a ""Programa de calibración y/o verilicación a equipos de medición y laboratoeio FO-SGC-26 A""
-Se cambia nombre de ""Instrumento Fuera de uso FO-SGC-27"" a ""Etiqueta de instrumento obsoleto F-SGC-29""
-Se cambia nombre de ""INSTRUMENTO CALIBRADO"" a ""calibración""",Cambio
"TOTAL este DE DISEÑOS 141 CON UN TOTAL DE 23 HOJAS # DE DISEÑOS (HOJA) 6(Hoja: 1,12,13,14,15,16,17,18,19,20) 8 (Hoja: 2,3,4,5,6,7,8,9,10,11) 3 (HOJA: 21) Se incorpora 5 gráficos de cliente:10012012 (FRWN-5481),10012013(FRWN-5471),10012014(FRWN-5511),10012015(FRWN-5501),10012016(FRWN-5491).",Adición
Modificación de objetivgs de calidad,Cambio
"a ver, Punto 5 desarrollo del procedimiento cambia por completo para cumplir con acciones correctuvas de jafra y supracare.",Cambio
